track_id_x,track_name_x,track_number,track_popularity,explicit,artist_name_x,artist_popularity,artist_followers,artist_genres,album_id,album_name,album_release_date,album_total_tracks,album_type,track_duration_min,merge_key,artist_name_y,track_id_y,track_name_y,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,track_genre,is_chart_song
5oJmBs9L5xwDkUbDWqn6Wr,This City,4,61,False,Sam Fischer,55,341193,,2FGOxwdP7MMd4GfVl2Uf7f,"I Love You, Please Don't Hate Me",2023-11-30,15,album,3.26,this city_sam fischer,Sam Fischer,7kF3x1XJXGcgQWFemulw4q,This City,0.731,0.602,194853,0.377,0.0,11,0.0808,-6.212999999999999,1,0.0446,73.877,4,0.518,54,,True
68HyvTUsmlpH1UJo9tn5v3,Zombie,66,0,False,The Cranberries,76,5401129,,4UkEvuAF0oirvH9HUAWSnk,The Best 90s Album In The World...Ever!,2021-05-25,77,compilation,5.12,zombie_the cranberries,The Cranberries,6XKv6ZUpghrz96imZfpOX3,Zombie,0.0139,0.309,308293,0.64,0.00343,7,0.367,-8.915,1,0.034,166.96900000000002,4,0.2739999999999999,20,rock,True
4nyY8oVjbX2d4qzlpiVM5n,Ruin My Life,9,74,True,Zara Larsson,77,10912927,,79y7DSLFQH3907u4ysOMGr,Poster Girl,2021-03-05,12,album,3.16,ruin my life_zara larsson,Zara Larsson,5tAa8Uaqr4VvA3693mbIhU,Ruin My Life,0.423,0.665,190932,0.6990000000000001,0.0,11,0.0969,-5.265,1,0.0578,124.896,4,0.585,86,edm,True
4nyY8oVjbX2d4qzlpiVM5n,Ruin My Life,9,74,True,Zara Larsson,77,10912927,,79y7DSLFQH3907u4ysOMGr,Poster Girl,2021-03-05,12,album,3.16,ruin my life_zara larsson,Zara Larsson,5tAa8Uaqr4VvA3693mbIhU,Ruin My Life,0.423,0.665,190932,0.6990000000000001,0.0,11,0.0969,-5.265,1,0.0578,124.896,4,0.585,86,electro,True
4nyY8oVjbX2d4qzlpiVM5n,Ruin My Life,9,74,True,Zara Larsson,77,10912927,,79y7DSLFQH3907u4ysOMGr,Poster Girl,2021-03-05,12,album,3.16,ruin my life_zara larsson,Zara Larsson,5tAa8Uaqr4VvA3693mbIhU,Ruin My Life,0.423,0.665,190932,0.6990000000000001,0.0,11,0.0969,-5.265,1,0.0578,124.896,4,0.585,86,house,True
4nyY8oVjbX2d4qzlpiVM5n,Ruin My Life,9,74,True,Zara Larsson,77,10912927,,79y7DSLFQH3907u4ysOMGr,Poster Girl,2021-03-05,12,album,3.16,ruin my life_zara larsson,Zara Larsson,5tAa8Uaqr4VvA3693mbIhU,Ruin My Life,0.423,0.665,190932,0.6990000000000001,0.0,11,0.0969,-5.265,1,0.0578,124.896,4,0.585,86,swedish,True
79UJTjTabqsQUhLkTJlSit,What's Up?,8,0,False,4 Non Blondes,65,699249,,6DicUtwr6mr9kpVnFGiJFt,90s Pop Hits,2021-02-05,28,compilation,4.86,what's up?_4 non blondes,4 Non Blondes,1wVZb5DevvRxasRcS7Lyqb,What's Up?,0.163,0.573,297453,0.562,0.0,11,0.118,-9.982,0,0.0297,134.431,4,0.488,21,,False
11FvynPeozvRw769iN9kV7,Call Out My Name,11,46,False,The Weeknd,93,112957721,"r&b pop, alternative r&b, hip hop, synthpop",5L5evi5tJPh8WaEFAQp7Tp,The Highlights,2021-02-05,18,compilation,3.8,call out my name_the weeknd,The Weeknd,4MPTj8lMMvxLwT3EwuXFop,Call Out My Name,0.211,0.449,228373,0.599,0.0,1,0.327,-4.892,1,0.0369,134.144,3,0.165,82,pop,True
71bVLWfQwDmvr1IhkvnsgK,May We All,13,41,False,Florida Georgia Line,70,5588772,"country, pop country, acoustic country",4i6olxzWoJ27X15Cf8lmFD,McGraw Machine Hits: 2013-2019,2020-11-20,14,compilation,3.77,may we all_florida georgia line,Florida Georgia Line,0ONccS8Kchy2jgbhF5lg1i,May We All,0.0404,0.491,226332,0.917,0.0,7,0.352,-4.262,1,0.0382,75.016,4,0.6890000000000001,21,,False
5HsPn6gWnDyW70FGOMHkg1,Humble And Kind,4,42,False,Tim McGraw,69,5042529,"country, classic country",39xDxmvMjrPLPakxZm0osw,McGraw Machine Hits: 2013-2019 (Big Machine Radio Release Special),2020-11-20,28,album,4.33,humble and kind_tim mcgraw,Tim McGraw,3jAkJ0sF8j2Ua121faEny3,Humble And Kind,0.675,0.476,260027,0.48,2.45e-06,11,0.12,-7.31,1,0.026,151.47799999999998,3,0.148,12,,False
