track_id_x,track_name_x,track_number,track_popularity,explicit,artist_name_x,artist_popularity,artist_followers,artist_genres,album_id,album_name,album_release_date,album_total_tracks,album_type,track_duration_min,merge_key,artist_name_y,track_id_y,track_name_y,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,track_genre
68HyvTUsmlpH1UJo9tn5v3,Zombie,66,0,False,The Cranberries,76,5401129,,4UkEvuAF0oirvH9HUAWSnk,The Best 90s Album In The World...Ever!,2021-05-25,77,compilation,5.12,zombie_the cranberries,The Cranberries,6XKv6ZUpghrz96imZfpOX3,Zombie,0.0139,0.309,308293,0.64,0.00343,7,0.367,-8.915,1,0.034,166.96900000000002,4,0.2739999999999999,20,rock
4nyY8oVjbX2d4qzlpiVM5n,Ruin My Life,9,74,True,Zara Larsson,77,10912927,,79y7DSLFQH3907u4ysOMGr,Poster Girl,2021-03-05,12,album,3.16,ruin my life_zara larsson,Zara Larsson,5tAa8Uaqr4VvA3693mbIhU,Ruin My Life,0.423,0.665,190932,0.6990000000000001,0.0,11,0.0969,-5.265,1,0.0578,124.896,4,0.585,86,electro
4nyY8oVjbX2d4qzlpiVM5n,Ruin My Life,9,74,True,Zara Larsson,77,10912927,,79y7DSLFQH3907u4ysOMGr,Poster Girl,2021-03-05,12,album,3.16,ruin my life_zara larsson,Zara Larsson,5tAa8Uaqr4VvA3693mbIhU,Ruin My Life,0.423,0.665,190932,0.6990000000000001,0.0,11,0.0969,-5.265,1,0.0578,124.896,4,0.585,86,house
11FvynPeozvRw769iN9kV7,Call Out My Name,11,46,False,The Weeknd,93,112957721,"r&b pop, alternative r&b, hip hop, synthpop",5L5evi5tJPh8WaEFAQp7Tp,The Highlights,2021-02-05,18,compilation,3.8,call out my name_the weeknd,The Weeknd,4MPTj8lMMvxLwT3EwuXFop,Call Out My Name,0.211,0.449,228373,0.599,0.0,1,0.327,-4.892,1,0.0369,134.144,3,0.165,82,pop
7t3Xdbufg7q2onVsR8RBdY,Fire On Fire,5,78,False,Sam Smith,81,26275803,soft pop,5XCBX16KNYsAe7V5hQV9mC,Love Goes,2020-10-30,17,album,4.11,fire on fire_sam smith,Sam Smith,5rFj8OzffT0iggSjcBaeND,Fire On Fire,0.513,0.598,246735,0.419,0.0,1,0.17,-7.382999999999999,0,0.0473,114.938,4,0.33,85,dance
7DnAm9FOTWE3cUvso43HhI,Sweet but Psycho,16,82,False,Ava Max,77,7750481,,26c7MmQ4w8EAvVLb4jilaM,Heaven & Hell,2020-09-18,16,album,3.12,sweet but psycho_ava max,Ava Max,25sgk305KZfyuqVBQIahim,Sweet but Psycho,0.0691,0.7190000000000001,187436,0.7040000000000001,0.0,1,0.166,-4.724,1,0.0476,133.002,4,0.628,96,dance
2rRJrJEo19S2J82BDsQ3F7,Falling,10,1,False,Trevor Daniel,59,927692,,1Hy76RlNvOHe6cpih1RxXq,Nicotine,2020-03-26,10,album,2.65,falling_trevor daniel,Trevor Daniel,4TnjEaWOeW0eKTKIEvJyCa,Falling,0.123,0.784,159382,0.43,0.0,10,0.0887,-8.756,0,0.0364,127.087,4,0.236,69,pop
6iWEhoALoBFnQMNVhYY0Sc,You're Somebody Else,11,67,False,flora cash,56,346992,,0C61FN9PR7AocB3A0E4Fvw,"Baby, It's Okay",2020-03-06,12,album,3.65,you're somebody else_flora cash,flora cash,0pdKRp2sUthTPe7RLWpPqQ,You're Somebody Else,0.841,0.713,218883,0.452,0.0038,1,0.105,-9.638,1,0.0295,102.963,4,0.235,77,indie-pop
6iWEhoALoBFnQMNVhYY0Sc,You're Somebody Else,11,67,False,flora cash,56,346992,,0C61FN9PR7AocB3A0E4Fvw,"Baby, It's Okay",2020-03-06,12,album,3.65,you're somebody else_flora cash,flora cash,0pdKRp2sUthTPe7RLWpPqQ,You're Somebody Else,0.841,0.713,218883,0.452,0.0038,1,0.105,-9.638,1,0.0295,102.963,4,0.235,77,indie
6FZDfxM3a3UCqtzo5pxSLZ,Without Me,9,83,True,Halsey,80,22396044,,68enXe5XcJdciSDAZr0Alr,Manic,2020-01-17,16,album,3.36,without me_halsey,Halsey,5p7ujcrUXASCNwRaWNHR1C,Without Me,0.297,0.752,201661,0.488,9.11e-06,6,0.0936,-7.05,1,0.0705,136.041,4,0.5329999999999999,96,dance
6FZDfxM3a3UCqtzo5pxSLZ,Without Me,9,83,True,Halsey,80,22396044,,68enXe5XcJdciSDAZr0Alr,Manic,2020-01-17,16,album,3.36,without me_halsey,Halsey,5p7ujcrUXASCNwRaWNHR1C,Without Me,0.297,0.752,201661,0.488,9.11e-06,6,0.0936,-7.05,1,0.0705,136.041,4,0.5329999999999999,96,electro
6FZDfxM3a3UCqtzo5pxSLZ,Without Me,9,83,True,Halsey,80,22396044,,68enXe5XcJdciSDAZr0Alr,Manic,2020-01-17,16,album,3.36,without me_halsey,Halsey,5p7ujcrUXASCNwRaWNHR1C,Without Me,0.297,0.752,201661,0.488,9.11e-06,6,0.0936,-7.05,1,0.0705,136.041,4,0.5329999999999999,96,indie-pop
6FZDfxM3a3UCqtzo5pxSLZ,Without Me,9,83,True,Halsey,80,22396044,,68enXe5XcJdciSDAZr0Alr,Manic,2020-01-17,16,album,3.36,without me_halsey,Halsey,5p7ujcrUXASCNwRaWNHR1C,Without Me,0.297,0.752,201661,0.488,9.11e-06,6,0.0936,-7.05,1,0.0705,136.041,4,0.5329999999999999,96,indie
6FZDfxM3a3UCqtzo5pxSLZ,Without Me,9,83,True,Halsey,80,22396044,,68enXe5XcJdciSDAZr0Alr,Manic,2020-01-17,16,album,3.36,without me_halsey,Halsey,5p7ujcrUXASCNwRaWNHR1C,Without Me,0.297,0.752,201661,0.488,9.11e-06,6,0.0936,-7.05,1,0.0705,136.041,4,0.5329999999999999,96,pop
